display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
bicycle_ID_1,FLUSH,3,bicycle,775,495,735,502,0.6492,2026-08-24 14:41:52.500,2026-08-24 14:41:53.159
person_ID_1,FLUSH,2,person,777,473,641,486,0.5849,2026-08-24 14:41:52.500,2026-08-24 14:41:53.564
car_ID_1,FLUSH,12,car,47,450,179,448,0.6968,2026-08-24 14:42:48.064,2026-08-24 14:42:48.565
car_ID_2,FLUSH,13,car,495,435,874,396,0.6460,2026-08-24 14:42:49.232,2026-08-24 14:42:50.801
car_ID_3,FLUSH,15,car,40,444,897,394,0.7815,2026-08-24 14:42:58.397,2026-08-24 14:43:01.362
bicycle_ID_2,FLUSH,18,bicycle,812,498,757,502,0.6666,2026-08-24 14:43:01.567,2026-08-24 14:43:01.765
person_ID_2,FLUSH,17,person,805,473,633,493,0.6672,2026-08-24 14:43:01.566,2026-08-24 14:43:02.265
bicycle_ID_3,FLUSH,21,bicycle,789,497,687,507,0.6907,2026-08-24 14:43:17.002,2026-08-24 14:43:17.301
person_ID_3,FLUSH,20,person,824,473,631,488,0.6083,2026-08-24 14:43:16.936,2026-08-24 14:43:17.939
person_ID_4,FLUSH,25,person,195,414,195,414,0.5418,2026-08-24 14:43:27.501,2026-08-24 14:43:27.501
car_ID_4,FLUSH,26,car,72,473,88,473,0.6192,2026-08-24 14:43:28.768,2026-08-24 14:43:28.935
car_ID_5,FLUSH,27,car,605,455,811,431,0.5449,2026-08-24 14:43:30.014,2026-08-24 14:43:30.538
car_ID_6,FLUSH,30,car,31,445,889,404,0.8529,2026-08-24 14:44:02.171,2026-08-24 14:44:04.703
bus_ID_1,FLUSH,33,bus,99,420,99,420,0.7203,2026-08-24 14:44:36.580,2026-08-24 14:44:36.580
car_ID_7,FLUSH,34,car,646,491,646,491,0.7128,2026-08-24 14:44:36.541,2026-08-24 14:44:36.646
truck_ID_1,FLUSH,33,truck,95,420,121,419,0.6265,2026-08-24 14:44:36.541,2026-08-24 14:44:36.712
bus_ID_2,FLUSH,36,bus,251,416,753,398,0.6767,2026-08-24 14:44:37.544,2026-08-24 14:44:39.117
truck_ID_2,FLUSH,37,truck,767,393,767,393,0.5552,2026-08-24 14:44:39.607,2026-08-24 14:44:39.641
bus_ID_3,FLUSH,37,bus,508,396,828,390,0.6888,2026-08-24 14:44:38.476,2026-08-24 14:44:39.875
car_ID_8,FLUSH,44,car,34,448,172,449,0.6465,2026-08-24 14:45:23.041,2026-08-24 14:45:23.676
car_ID_9,FLUSH,45,car,34,438,799,402,0.7306,2026-08-24 14:45:25.844,2026-08-24 14:45:28.874
person_ID_5,FLUSH,50,person,786,473,773,476,0.5703,2026-08-24 14:45:29.209,2026-08-24 14:45:29.274
person_ID_6,FLUSH,51,person,747,445,721,437,0.6412,2026-08-24 14:45:29.242,2026-08-24 14:45:29.842
bicycle_ID_4,FLUSH,52,bicycle,836,492,675,519,0.6504,2026-08-24 14:45:51.647,2026-08-24 14:45:52.280
bicycle_ID_5,FLUSH,56,bicycle,531,537,531,537,0.5383,2026-08-24 14:45:52.808,2026-08-24 14:45:52.808
person_ID_8,FLUSH,54,person,786,462,626,481,0.6272,2026-08-24 14:45:52.141,2026-08-24 14:45:52.909
person_ID_7,FLUSH,53,person,840,477,470,499,0.6729,2026-08-24 14:45:51.647,2026-08-24 14:45:53.976
